Code,AccountName,Year,ImmRes2017,ImmigrantShare,BachelorDegree,#1Industry,#1IndustryShare,STEMworkers,ImmigrantVote,ImmigrantHomeowners,StateName,ImmRes2016,residentChange,ImmTaxPaidMon,ImmTaxPaid,,
39,Ohio,2017,"528,107",0.0453,22.60%,Nail salons and other personal care services,22.30%,14.10%,258929,"118,219",Ohio," 500,582 ",27525,"$5,039,650,391",5039650391,,
40,Oklahoma,2017,"225,048",0.0573,13.60%,Machinery manufacturing,25.70%,9.30%,71507,"47,477",Oklahoma," 220,159 ",4889,"$1,174,155,640",1174155640,,
41,Oregon,2017,"402,068",0.0971,16.90%,Crop production,46.30%,16.80%,172439,"90,225",Oregon," 396,341 ",5727,"$3,264,543,457",3264543457,,
42,Pennsylvania,2017,"880,079",0.0687,19.50%,Nail salons and other personal care services,40.80%,15.60%,431351,"206,762",Pennsylvania," 867,992 ",12087,"$8,696,319,336",8696319336,,
44,Rhode Island,2017,"141,713",0.1337,13.50%,Computer systems design and related services,29.10%,16.30%,73571,"27,713",Rhode Island," 149,365 ",-7652,"$1,093,262,695",1093262695,,
45,South Carolina,2017,"240,462",0.0479,14.90%,Crop production,28.30%,8.40%,94480,"57,417",South Carolina," 239,281 ",1181,"$1,686,296,631",1686296631,,
46,South Dakota,2017,"30,946",0.0356,14.50%,Animal production and aquaculture,6.30%,1.90%,12227,,South Dakota," 30,664 ",282,"$127,767,616",127767616,,
47,Tennessee,2017,"345,874",0.0515,17.10%,Crop production,37.30%,11.30%,123051,"66,257",Tennessee," 331,868 ",14006,"$2,155,156,250",2155156250,,
48,Texas,2017,"4,848,984",0.1713,14.80%,Private households,59.00%,25.80%,1708337,"1,167,242",Texas," 4,707,859 ",141125,"$34,769,644,531",34769644531,,
49,Utah,2017,"272,168",0.0877,16.20%,Medical equipment and supplies manufacturing,26.70%,10.40%,99903,"57,132",Utah," 248,529 ",23639,"$405,360,060,590",405360060590,,
50,Vermont,2017,"30,744",0.0493,28.40%,"Colleges, universities, and professional schools",16.50%,9.60%,14382,"6,363",Vermont," 23,298 ",7446,"$1,551,963,257",1551963257,,
51,Virginia,2017,"1,052,296",0.1242,22.20%,Taxi and limousine service,64.30%,22.60%,516440,"237,861",Virginia," 1,022,197 ",30099,"$250,770,935",250770935,,
53,Washington,2017,"1,066,967",0.1441,19.90%,Crop production,63.00%,26.50%,481818,"250,749",Washington," 1,019,317 ",47650,"$11,912,326,172",11912326172,,
54,West Virginia,2017,"29,885",0.0165,19.40%,"Colleges, universities, and professional schools",8.70%,6.80%,14229,"6,304",West Virginia," 31,974 ",-2089,"$11,964,779,297",11964779297,,
55,Wisconsin,2017,"287,136",0.0496,17.60%,Animal slaughtering and processing,34.20%,12.10%,120798,"57,618",Wisconsin," 302,089 ",-14953,"$225,914,658",225914658,,
56,Wyoming,2017,"20,476",0.0354,11.80%,Restaurants and other food services,5.90%,6.50%,6588,,Wyoming," 20,580 ",-104,"$2,465,234,863",2465234863,,
,,,,,,,,,,,,,,,,,
