City,State,Origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
Tucson,Arizona,Somalia,1,86,318,89,119,98,100,122,63,69,160,224,258,136,249,63,0,2155
Fresno,California,Laos,0,0,1105,947,50,19,6,1,15,0,0,0,0,0,0,0,0,2143
Grand Rapids,Michigan,Burma,0,0,0,2,0,101,156,277,294,268,195,191,193,150,145,77,59,2108
Bowling Green,Kentucky,Burma,4,0,24,5,10,126,163,451,247,138,126,96,161,226,176,51,47,2051
San Diego,California,Burma,0,0,13,8,43,302,321,198,267,222,148,167,108,154,63,6,18,2038
Burbank,California,Iran,27,28,35,33,157,332,491,410,177,68,56,69,35,43,49,20,0,2030
Saint Paul,Minnesota,Somalia,8,71,189,278,502,157,2,57,157,22,120,71,133,103,134,20,1,2025
Denver,Colorado,Somalia,1,70,257,65,180,151,49,236,97,88,110,246,230,84,134,25,0,2023
Dallas,Texas,Bhutan,0,0,0,0,0,0,226,356,276,256,238,200,180,116,84,49,22,2003
Louisville,Kentucky,Bhutan,0,0,0,0,0,0,135,307,237,234,245,155,194,150,214,96,35,2002
Atlanta,Georgia,Bhutan,0,0,0,0,0,0,138,222,191,225,190,168,297,261,158,125,14,1989
Seattle,Washington,Burma,4,0,14,5,16,122,358,393,346,159,105,111,123,109,62,36,22,1985
Portland,Oregon,Somalia,0,20,245,70,124,72,84,68,196,124,117,187,270,136,211,60,0,1984
Clarkston,Georgia,Bhutan,0,0,0,0,0,0,32,118,193,435,480,361,116,129,92,27,0,1983
Atlanta,Georgia,Dem. Rep. Congo,0,0,4,0,0,0,0,0,32,8,40,70,237,375,718,148,336,1968
Buffalo,New York,Bhutan,0,0,0,0,0,0,120,325,265,294,290,231,174,130,60,59,2,1950
Charlotte,North Carolina,Bhutan,0,0,0,0,0,0,28,206,271,276,348,195,225,157,136,92,10,1944
Nashville,Tennessee,Somalia,3,63,262,179,202,114,37,75,78,112,166,107,181,106,208,34,4,1931
Portland,Oregon,Burma,9,24,20,3,8,138,180,106,277,184,123,164,182,248,166,18,79,1929
Fort Worth,Texas,Bhutan,0,0,0,0,0,0,152,335,228,270,279,197,149,80,115,71,3,1879
Dallas,Texas,Somalia,6,75,401,172,113,88,73,101,57,98,171,137,112,64,175,23,0,1866
Austin,Texas,Iraq,0,0,0,0,7,1,58,182,191,87,142,275,420,216,206,61,2,1848
San Antonio,Texas,Burma,0,0,0,3,5,58,170,306,137,120,183,183,128,290,159,53,40,1835
Louisville,Kentucky,Burma,0,0,0,0,28,289,238,202,271,113,112,144,128,132,96,31,37,1821
Vancouver,Washington,Ukraine,296,232,128,119,129,55,52,39,12,33,36,16,33,94,223,148,168,1813
Minneapolis,Minnesota,Burma,0,1,0,3,0,5,8,37,233,301,180,209,225,215,183,77,136,1813
New Bern,North Carolina,Burma,15,21,46,47,39,247,165,196,163,140,198,120,132,138,81,21,41,1810
Nashville,Tennessee,Bhutan,0,0,0,0,0,0,107,282,221,263,251,223,154,122,107,67,10,1807
Fargo,North Dakota,Bhutan,0,0,0,0,0,0,125,145,173,214,273,205,162,169,146,145,13,1770
Clarkston,Georgia,Burma,0,3,1,1,0,7,32,55,77,226,268,334,235,306,132,63,28,1768
San Antonio,Texas,Iraq,0,0,0,0,0,0,138,238,171,42,192,229,291,156,225,73,4,1759
Austin,Texas,Burma,0,0,3,2,36,165,272,314,160,190,135,176,97,113,49,28,19,1759
Boise,Idaho,Dem. Rep. Congo,0,1,0,0,34,58,50,84,84,73,104,139,121,267,391,103,238,1747
Saint Cloud,Minnesota,Somalia,6,35,43,67,163,46,11,13,112,88,132,209,271,237,197,92,5,1727
Kent,Washington,Ukraine,290,240,167,103,42,77,12,9,13,10,5,4,53,107,205,202,174,1713
Denver,Colorado,Iraq,17,0,0,0,0,8,162,188,216,30,171,231,304,176,158,29,1,1691
Saint Louis,Missouri,Somalia,0,61,260,115,99,112,20,49,71,77,124,188,108,120,205,76,1,1686
Louisville,Kentucky,Iraq,10,0,0,2,4,15,172,200,241,40,185,158,299,150,142,54,5,1677
Kansas City,Missouri,Somalia,3,30,155,70,63,79,76,141,95,83,147,99,200,114,224,92,0,1671
Omaha,Nebraska,Bhutan,0,0,0,0,0,0,4,52,124,205,259,258,219,151,200,139,44,1655
Turlock,California,Iran,42,43,21,49,287,304,238,210,112,38,27,35,50,54,99,45,0,1654
Las Vegas,Nevada,Cuba,46,11,94,166,68,75,190,175,199,96,111,205,160,33,11,2,0,1642
Sacramento,California,Iraq,0,0,0,0,0,0,23,96,222,32,187,329,272,184,210,60,1,1616
Tucson,Arizona,Dem. Rep. Congo,0,0,1,2,0,20,34,51,24,40,40,83,246,290,530,69,180,1610
Tucson,Arizona,Iraq,7,10,0,11,9,75,327,300,181,33,107,157,202,89,72,28,0,1608
Worcester,Massachusetts,Iraq,0,0,0,0,0,10,86,203,245,159,205,238,139,127,155,37,2,1606
Baltimore,Maryland,Burma,1,6,7,3,4,87,96,70,90,115,77,162,285,351,137,77,31,1599
Seattle,Washington,Iraq,3,5,0,0,2,19,101,158,234,39,110,146,249,215,199,106,0,1586
Salt Lake City,Utah,Iraq,0,0,0,11,0,16,202,265,150,41,168,197,240,112,128,49,1,1580
Warren,Michigan,Iraq,1,0,0,12,1,123,277,285,133,50,158,141,158,103,96,33,3,1574
Fort Worth,Texas,Dem. Rep. Congo,7,7,5,3,3,13,22,26,136,32,51,77,100,187,630,112,125,1536
Fort Worth,Texas,Somalia,1,47,78,68,49,79,44,116,90,85,93,161,264,145,186,25,4,1535
Sioux Falls,South Dakota,Bhutan,0,0,0,0,0,0,60,112,123,212,364,186,138,88,127,88,26,1524
Buffalo,New York,Dem. Rep. Congo,0,6,11,10,2,1,13,25,126,10,50,32,136,151,534,132,283,1522
Philadelphia,Pennsylvania,Bhutan,0,0,0,0,0,0,0,111,149,348,346,217,118,81,76,56,6,1508
Sacramento,California,Laos,18,0,832,538,73,22,2,0,0,18,0,0,0,0,0,0,0,1503
