City,State,Origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
Laconia,New Hampshire,Bosnia and Herzegovina,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Doraville,Georgia,Bhutan,0,0,0,0,0,0,2,6,10,0,4,0,0,0,0,0,0,22
Baltimore,Maryland,Vietnam,7,0,0,8,0,2,0,5,0,0,0,0,0,0,0,0,0,22
Wichita,Kansas,Iran,0,5,0,0,3,0,5,1,1,3,3,0,0,1,0,0,0,22
Rochester,New York,Nepal,0,0,0,1,0,0,1,0,0,0,6,4,3,1,5,1,0,22
Tampa,Florida,Ukraine,0,8,0,0,0,0,0,0,0,1,0,0,0,11,2,0,0,22
East Amherst,New York,Liberia,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Tampa,Florida,Moldova,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
East Wenatchee,Washington,Ukraine,5,3,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,22
Chisago City,Minnesota,Laos,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Hiawatha,Iowa,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,7,10,5,0,0,22
Washington,District of Columbia,Sudan,8,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22
Endicott,New York,Vietnam,4,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,22
Paterson,New Jersey,Somalia,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,22
Saint Peter,Minnesota,Somalia,0,2,0,0,0,0,0,10,0,0,0,1,0,7,2,0,0,22
La Palma,California,Iraq,0,0,0,0,0,0,0,0,7,0,1,3,4,4,3,0,0,22
Covington,Georgia,Moldova,8,8,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,22
Tempe,Arizona,Iran,0,1,0,0,0,0,0,1,4,0,2,8,2,4,0,0,0,22
Anchorage,Alaska,Uzbekistan,0,0,0,0,6,9,0,0,0,0,6,0,0,1,0,0,0,22
Phoenix,Arizona,Palestine,0,0,0,0,0,0,0,0,8,7,0,5,1,1,0,0,0,22
Fredericksburg,Virginia,Liberia,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Murray,Utah,Bhutan,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,22
North Canton,Ohio,Iraq,0,0,0,0,0,0,6,0,0,4,0,12,0,0,0,0,0,22
Scottsdale,Arizona,Afghanistan,0,4,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,22
Grandville,Michigan,Bhutan,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,22
Maple Grove,Minnesota,Ukraine,0,0,2,0,8,8,0,0,0,0,0,0,1,3,0,0,0,22
Fairfield,California,Laos,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,22
Sewell,New Jersey,Liberia,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Lititz,Pennsylvania,Ukraine,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,22
Richmond,Virginia,Vietnam,4,0,0,7,1,4,4,0,0,1,0,0,1,0,0,0,0,22
Burke,Virginia,Somalia,0,1,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Arlington,Virginia,Iran,7,1,1,0,0,0,6,1,0,1,1,0,0,3,1,0,0,22
Richfield,Minnesota,Sudan,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,22
West Des Moines,Iowa,Liberia,0,17,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22
Clarkston,Georgia,Afghanistan,7,2,0,1,4,0,0,1,0,0,0,1,0,4,1,1,0,22
Forest Hills,New York,Russia,7,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Spokane,Washington,Uzbekistan,12,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,22
Wyoming,Michigan,Burma,0,0,0,0,0,0,0,0,0,0,5,5,9,2,1,0,0,22
West Haven,Connecticut,Iraq,5,0,0,0,0,0,0,0,0,4,0,8,2,0,3,0,0,22
Hanover Park,Illinois,Iran,5,0,0,0,0,3,0,2,0,0,3,4,0,5,0,0,0,22
Phoenix,Arizona,China,0,0,0,0,0,7,1,9,0,3,0,2,0,0,0,0,0,22
Colchester,Vermont,Bosnia and Herzegovina,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Dearborn,Michigan,Moldova,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Manassas,Virginia,Iran,0,6,0,4,1,1,1,3,0,0,0,0,1,1,4,0,0,22
Anchorage,Alaska,Ukraine,0,0,5,0,0,0,0,0,4,0,0,0,0,3,1,3,5,21
Anaheim,California,Afghanistan,0,0,0,0,0,0,0,1,8,8,0,3,0,0,0,1,0,21
San Jose,California,Ukraine,13,1,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,21
Centreville,Virginia,Iraq,2,0,0,0,0,0,5,1,0,0,11,0,1,0,1,0,0,21
Grand Rapids,Michigan,Iran,2,2,0,1,0,0,0,0,1,4,0,0,2,4,5,0,0,21
Adelphi,Maryland,Sierra Leone,1,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Westfield,Massachusetts,Kazakhstan,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21
Dallas,Texas,Uzbekistan,4,1,8,0,2,4,0,0,2,0,0,0,0,0,0,0,0,21
Louisville,Kentucky,Congo,0,1,4,0,0,0,0,3,9,0,0,0,3,0,1,0,0,21
Thousand Oaks,California,Iran,0,0,1,2,0,4,2,5,0,0,3,0,0,0,4,0,0,21
Catonsville,Maryland,Bhutan,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,21
Glendale Heights,Illinois,Sudan,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,21
Woodland Hills,California,Iraq,0,0,0,0,0,0,4,0,0,0,1,0,10,0,6,0,0,21
Tolleson,Arizona,Iraq,0,0,0,0,0,0,5,12,0,0,0,4,0,0,0,0,0,21
Leesburg,Virginia,Iran,0,0,7,1,4,0,0,4,0,0,2,0,0,2,1,0,0,21
Baldwinsville,New York,Iraq,0,0,0,0,0,0,0,0,0,8,6,3,0,4,0,0,0,21
Gainesville,Virginia,Iraq,0,0,0,0,0,3,0,5,4,4,0,5,0,0,0,0,0,21
Hartford,Connecticut,Eritrea,0,0,0,0,0,6,5,0,1,1,3,3,2,0,0,0,0,21
Arnold,Missouri,Iraq,0,0,0,0,0,0,0,5,0,0,0,4,0,12,0,0,0,21
Greenfield,Massachusetts,Ukraine,4,6,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,21
Watauga,Texas,Bhutan,0,0,0,0,0,0,18,0,0,0,0,2,0,1,0,0,0,21
West Covina,California,Burma,0,0,0,0,0,0,0,0,3,2,2,0,9,5,0,0,0,21
Conyers,Georgia,Moldova,5,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,21
Columbus,Ohio,Kazakhstan,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,21
Cincinnati,Ohio,Congo,0,0,0,4,0,0,0,0,0,0,8,2,7,0,0,0,0,21
Boalsburg,Pennsylvania,Kazakhstan,5,5,5,0,0,0,2,0,0,4,0,0,0,0,0,0,0,21
Inver Grove Heights,Minnesota,Burma,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
Waterloo,Iowa,Bosnia and Herzegovina,17,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21
Lee's Summit,Missouri,Iran,1,5,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,21
Anoka,Minnesota,Russia,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
South Fargo,North Dakota,Somalia,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Merriam,Kansas,Iraq,0,0,0,0,0,0,0,6,3,2,2,0,3,0,0,5,0,21
Key West,Florida,Cuba,0,0,0,7,5,3,0,0,0,0,0,2,3,1,0,0,0,21
Detroit,Michigan,Syria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,21
Noel,Missouri,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,7,0,21
Tukwila,Washington,Eritrea,0,0,0,2,0,0,1,2,4,1,0,4,1,2,0,4,0,21
Luverne,Minnesota,Ethiopia,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
Salt Lake City,Utah,Congo,0,1,0,0,0,0,11,8,0,0,1,0,0,0,0,0,0,21
Bradenton,Florida,Cuba,0,0,0,4,0,0,4,4,0,0,5,2,2,0,0,0,0,21
Renton,Washington,Iran,6,0,0,0,5,5,0,0,2,0,3,0,0,0,0,0,0,21
Anoka,Minnesota,Ukraine,16,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21
Worthington,Minnesota,Ethiopia,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,21
Issaquah,Washington,Iran,0,0,0,0,5,0,0,3,10,0,0,3,0,0,0,0,0,21
Salt Lake City,Utah,Pakistan,0,0,2,0,1,0,0,0,0,0,0,2,5,0,5,3,3,21
Worthington,Minnesota,Burma,0,0,0,0,0,0,0,5,0,0,0,1,4,1,2,0,8,21
Falls Church,Virginia,Sudan,3,6,2,6,1,3,0,0,0,0,0,0,0,0,0,0,0,21
Lauderdale Lakes,Florida,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,21
Philadelphia,Pennsylvania,Burundi,0,0,0,0,0,0,0,5,1,0,0,0,0,15,0,0,0,21
North Mankato,Minnesota,Somalia,0,0,2,0,0,0,0,0,0,0,2,12,0,3,2,0,0,21
Fargo,North Dakota,Iran,0,4,1,1,0,0,2,1,2,0,0,1,2,3,4,0,0,21
Alexandria,Virginia,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,14,21
Harrisburg,Pennsylvania,Afghanistan,9,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,21
Asheville,North Carolina,Belarus,0,5,6,2,0,1,0,0,0,0,0,0,0,0,0,0,7,21
Lowell,Massachusetts,Vietnam,0,0,0,4,9,0,3,5,0,0,0,0,0,0,0,0,0,21
Westport,Washington,Bhutan,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,21
Fort Worth,Texas,Bosnia and Herzegovina,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Laredo,Texas,Burma,0,0,0,0,0,3,5,8,0,0,0,0,4,1,0,0,0,21
Orlando,Florida,Burundi,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,8,21
Dorchester,Massachusetts,Iraq,1,0,0,0,0,0,0,0,10,0,1,8,1,0,0,0,0,21
Covina,California,Iraq,0,0,0,0,0,0,2,0,1,0,7,4,0,7,0,0,0,21
Fairbault,Minnesota,Somalia,0,0,0,0,0,3,0,0,0,0,1,5,1,4,7,0,0,21
Golden,Colorado,Iraq,3,0,0,0,0,0,9,2,0,0,0,5,0,0,2,0,0,21
Shakopee,Minnesota,Moldova,0,2,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,21
Midvale,Utah,Iran,0,4,0,3,0,0,0,1,2,5,5,0,1,0,0,0,0,21
Baltimore,Maryland,Sierra Leone,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Marysville,Washington,Russia,0,0,4,0,11,6,0,0,0,0,0,0,0,0,0,0,0,21
High Point,North Carolina,Chad,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
Austin,Minnesota,Sudan,0,1,0,3,1,0,0,5,0,0,3,0,6,0,2,0,0,21
Walnut Creek,California,Uganda,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6,7,4,21
Saint Petersburg,Florida,Bosnia and Herzegovina,7,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,21
Norcross,Georgia,Iraq,0,0,0,0,0,0,4,2,5,1,5,0,4,0,0,0,0,21
Great Falls,Virginia,Iran,1,10,0,0,0,4,1,2,0,0,0,1,0,2,0,0,0,21
Canton,Massachusetts,Ukraine,0,0,9,6,0,0,0,0,0,6,0,0,0,0,0,0,0,21
Walnut Creek,California,Bosnia and Herzegovina,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Burnsville,Minnesota,Liberia,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Denver,Colorado,Tibet,0,0,0,0,0,0,0,0,0,0,14,6,0,0,1,0,0,21
Englewood,Colorado,Iraq,0,0,0,0,0,5,0,7,9,0,0,0,0,0,0,0,0,21
Ellicott City,Maryland,Burma,0,0,0,0,0,6,4,0,9,2,0,0,0,0,0,0,0,21
Grawn,Michigan,Ukraine,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,11,21
Pleasant Hill,California,Iran,0,0,7,3,2,0,0,0,8,0,0,0,0,0,1,0,0,21
Royal Palm Beach,Florida,Cuba,0,0,2,0,0,0,5,4,0,0,0,7,1,2,0,0,0,21
Aurora,Illinois,Rwanda,0,0,0,7,0,7,0,0,0,0,5,0,0,2,0,0,0,21
Lawrenceville,Georgia,Somalia,0,0,5,7,6,0,0,1,1,0,1,0,0,0,0,0,0,21
Grand Prairie,Texas,Vietnam,3,2,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,21
Blaine,Minnesota,Belarus,0,4,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,21
Dayton,Ohio,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21
Centreville,Virginia,Afghanistan,5,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,21
Queens,New York,China,0,0,0,0,0,0,0,0,4,2,0,9,4,2,0,0,0,21
Yonkers,New York,Liberia,0,15,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,21
Wheaton,Illinois,Ethiopia,5,0,2,9,0,0,0,1,3,0,1,0,0,0,0,0,0,21
Hanover Park,Illinois,Liberia,0,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,21
Mundelein,Illinois,Iraq,0,0,0,0,0,0,2,0,3,0,5,6,0,4,1,0,0,21
Tonawanda,New York,Iraq,0,0,0,0,0,0,0,5,0,2,0,2,3,0,9,0,0,21
Grand Forks,North Dakota,Serbia,10,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fair Oaks,California,Armenia,0,10,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Antelope,California,Uzbekistan,2,8,1,0,5,0,0,0,0,0,0,5,0,0,0,0,0,21
Chaska,Minnesota,Ukraine,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21
Lakewood,Colorado,Sudan,1,3,8,0,1,0,0,0,0,4,0,0,3,0,0,1,0,21
Plantation,Florida,Iraq,0,0,0,0,0,0,4,0,4,0,0,1,12,0,0,0,0,21
Wheatland,California,Laos,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Springfield,Virginia,Vietnam,6,0,0,9,1,0,4,0,1,0,0,0,0,0,0,0,0,21
Wexford,Pennsylvania,Iraq,0,0,0,0,0,0,4,5,6,0,0,6,0,0,0,0,0,21
Denver,Colorado,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,5,21
Columbia,Missouri,Vietnam,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20
Fridley,Minnesota,Sudan,0,9,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20
Saint Joseph,Missouri,Eritrea,0,0,0,0,0,0,0,0,0,0,3,0,11,2,3,1,0,20
Shasta Lake,California,Ukraine,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Claremont,North Carolina,Laos,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Braselton,Georgia,Iraq,0,0,0,0,0,0,8,5,7,0,0,0,0,0,0,0,0,20
Monroe,North Carolina,Moldova,0,0,0,0,0,0,5,0,0,0,0,0,1,5,4,5,0,20
Manassas,Virginia,Iraq,1,0,0,0,0,0,3,0,0,0,5,6,5,0,0,0,0,20
Rochester,New York,Iran,4,2,5,0,0,0,7,0,0,0,0,0,0,1,1,0,0,20
Beaverton,Oregon,Serbia,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Grandville,Michigan,Cuba,0,0,16,2,1,1,0,0,0,0,0,0,0,0,0,0,0,20
Seattle,Washington,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,20
Salt Lake City,Utah,"Korea, North",0,0,0,0,0,1,0,0,1,3,3,1,1,6,2,0,2,20
Sunland,California,Iraq,0,0,0,0,0,6,7,1,0,0,5,0,1,0,0,0,0,20
Abilene,Texas,Ivory Coast,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,10,4,20
Lansdowne,Pennsylvania,Liberia,5,0,10,0,4,0,1,0,0,0,0,0,0,0,0,0,0,20
Pelican Rapids,Minnesota,Iraq,0,0,0,0,0,0,0,0,6,0,10,4,0,0,0,0,0,20
Grayson,Georgia,Iraq,0,0,0,0,0,0,6,5,0,0,0,7,2,0,0,0,0,20
Staten Island,New York,Ukraine,9,0,2,2,2,1,0,3,0,1,0,0,0,0,0,0,0,20
Lorton,Virginia,Iraq,0,0,0,0,0,0,5,0,0,0,3,0,0,12,0,0,0,20
Kennewick,Washington,Colombia,0,0,0,0,4,0,0,0,0,0,0,1,0,6,4,0,5,20
Malden,Massachusetts,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,20
Roanoke,Virginia,Russia,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,20
Pasco,Washington,Iraq,0,0,0,0,0,0,0,0,0,0,5,3,6,5,1,0,0,20
Brighton,Massachusetts,Ukraine,10,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20
Colville,Washington,Russia,9,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20
Littleton,Colorado,Burma,0,0,3,2,0,0,4,0,6,4,0,1,0,0,0,0,0,20
Mather,California,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,20
Utica,New York,Iran,4,5,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20
Costa Mesa,California,Iraq,0,0,0,0,0,0,0,4,6,0,6,2,2,0,0,0,0,20
Faribault,Minnesota,Ethiopia,0,0,0,3,0,0,0,0,0,0,1,0,0,11,1,3,1,20
Boston,Massachusetts,Iran,1,4,1,0,0,0,0,0,0,0,2,1,6,0,5,0,0,20
Germantown,Maryland,Liberia,0,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Staten Island,New York,Russia,4,7,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,20
Wyoming,Michigan,Vietnam,5,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,20
Wichita,Kansas,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,20
Knoxville,Tennessee,Rwanda,0,0,0,0,0,0,0,1,5,0,6,3,0,0,5,0,0,20
Glenview,Illinois,Iran,2,1,0,4,0,0,2,4,0,0,1,0,0,1,5,0,0,20
Yorba Linda,California,Iran,4,0,0,0,0,6,1,0,7,0,0,0,0,0,2,0,0,20
Gorham,Maine,Iraq,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,20
Springfield,Massachusetts,Iran,0,0,1,0,0,0,0,0,0,2,4,0,0,0,12,1,0,20
Lafayette,Louisiana,Dem. Rep. Congo,0,0,0,0,0,6,6,1,7,0,0,0,0,0,0,0,0,20
Concord,New Hampshire,Serbia,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Moline,Illinois,Sierra Leone,0,4,10,4,0,0,2,0,0,0,0,0,0,0,0,0,0,20
Fair Oaks,California,Moldova,0,0,4,2,0,7,0,0,0,3,0,0,0,0,4,0,0,20
Chandler,Arizona,Vietnam,0,2,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,20
Santa Clara,California,Ethiopia,0,8,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,20
San Jose,California,China,0,0,0,0,0,0,0,5,4,2,9,0,0,0,0,0,0,20
Denver,Colorado,Moldova,0,0,0,0,0,0,0,0,4,2,2,0,1,8,3,0,0,20
Beachwood,Ohio,Iraq,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20
Grove City,Ohio,Somalia,0,0,3,0,0,0,0,0,0,3,0,4,5,5,0,0,0,20
Raleigh,North Carolina,Colombia,0,0,0,0,0,0,0,0,3,0,8,0,4,4,1,0,0,20
Cleveland Heights,Ohio,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,2,0,4,7,5,2,20
Roanoke,Virginia,Rwanda,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,7,7,20
Fort Morgan,Colorado,Somalia,0,0,0,0,0,0,0,5,0,0,2,0,2,1,8,2,0,20
New Orleans,Louisiana,Iraq,0,0,0,0,0,0,1,1,0,0,4,6,0,5,3,0,0,20
Wheeling,Illinois,Russia,8,2,0,3,2,0,0,1,0,0,0,0,0,0,4,0,0,20
Chesapeake,Virginia,Iraq,0,0,0,0,0,0,0,0,8,0,0,7,1,4,0,0,0,20
Woodstock,Georgia,Moldova,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Poway,California,Iran,3,0,0,0,2,0,6,2,0,1,4,0,1,0,1,0,0,20
Sykesville,Maryland,Iraq,0,0,0,0,0,0,0,0,14,1,1,4,0,0,0,0,0,20
Pinole,California,Iran,15,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
Spokane Valley,Washington,Iraq,0,0,0,0,0,0,0,0,0,0,2,6,0,2,6,4,0,20
Alpine,California,Iraq,0,0,0,0,0,0,5,8,3,0,4,0,0,0,0,0,0,20
Jersey City,New Jersey,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,3,20
Hendersonville,North Carolina,Ukraine,0,4,0,0,8,0,4,0,0,0,0,0,0,0,0,0,4,20
Coppell,Texas,Burma,0,0,0,0,0,1,4,0,0,1,2,2,10,0,0,0,0,20
Bellevue,Washington,Azerbaijan,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Hurst,Texas,Sudan,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,20
Columbus,Ohio,Uzbekistan,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,5,20
Saint Louis Park,Minnesota,Ethiopia,0,6,8,0,1,5,0,0,0,0,0,0,0,0,0,0,0,20
Northglenn,Colorado,Ukraine,0,6,0,8,0,5,0,1,0,0,0,0,0,0,0,0,0,20
Reston,Virginia,Somalia,1,6,5,0,1,1,0,0,0,0,0,6,0,0,0,0,0,20
Knoxville,Tennessee,Ethiopia,0,0,0,0,0,0,0,0,1,0,15,4,0,0,0,0,0,20
Pacific,Washington,Ukraine,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,12,3,20
West Hartford,Connecticut,Iraq,0,0,0,0,0,0,0,0,0,0,7,4,6,3,0,0,0,20
Philadelphia,Pennsylvania,Rwanda,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,12,20
Wilmington,North Carolina,Cuba,0,0,0,0,0,0,0,0,4,3,0,8,5,0,0,0,0,20
Fredericksburg,Virginia,Dem. Rep. Congo,0,0,0,0,9,5,0,6,0,0,0,0,0,0,0,0,0,20
Brooklyn,New York,Sudan,2,2,4,3,2,0,0,0,2,1,1,2,0,1,0,0,0,20
Bedford,Texas,Burma,0,0,0,0,0,0,4,0,6,3,5,0,1,0,1,0,0,20
Fridley,Minnesota,Bosnia and Herzegovina,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
West Roxbury,Massachusetts,Iraq,0,0,0,0,0,2,10,4,0,0,0,4,0,0,0,0,0,20
Littleton,Colorado,Somalia,0,6,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Atlantic City,New Jersey,Vietnam,7,0,0,1,0,0,2,5,0,5,0,0,0,0,0,0,0,20
Carol Stream,Illinois,Ukraine,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,11,0,20
Minneapolis,Minnesota,Iran,3,3,0,0,0,0,0,3,0,0,0,0,3,2,3,0,3,20
Gainesville,Georgia,Vietnam,0,4,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,20
Richardson,Texas,Ethiopia,0,13,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,20
Fullerton,California,Iran,8,0,0,1,5,0,0,0,2,2,2,0,0,0,0,0,0,20
Queens,New York,Bhutan,0,0,0,0,0,0,4,14,2,0,0,0,0,0,0,0,0,20
Smyrna,Georgia,Liberia,0,0,0,8,0,3,0,9,0,0,0,0,0,0,0,0,0,20
Columbia,South Carolina,Liberia,0,3,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,20
Denver,Colorado,Laos,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
La Mesa,California,Somalia,0,0,1,0,14,0,3,0,0,1,1,0,0,0,0,0,0,20
Phoenix,Arizona,Nigeria,2,5,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,20
Columbus,Ohio,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,20
Olivehurst,California,Laos,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Costa Mesa,California,Vietnam,4,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,20
Roslyn Heights,New York,Iran,2,6,0,2,5,0,0,5,0,0,0,0,0,0,0,0,0,20
Lilburn,Georgia,Ethiopia,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Center Line,Michigan,Iraq,0,0,0,0,0,0,2,0,3,0,6,0,5,0,4,0,0,20
Plant City,Florida,Cuba,0,0,0,0,0,1,7,4,3,0,0,4,0,0,0,0,0,19
Pineville,Louisiana,Somalia,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19
Binghamton,New York,Moldova,3,0,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,19
Golden Valley,Minnesota,Ukraine,0,0,0,2,0,12,0,0,0,0,4,0,0,0,0,1,0,19
University Place,Washington,Vietnam,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,19
Fort Lauderdale,Florida,Iraq,0,0,0,0,0,0,0,15,2,2,0,0,0,0,0,0,0,19
El Dorado Hills,California,Iraq,0,0,0,0,0,0,0,5,11,0,0,0,3,0,0,0,0,19
Loves Park,Illinois,Serbia,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
South Salt Lake,Utah,Burma,0,0,0,0,0,0,0,0,0,0,0,9,0,5,5,0,0,19
Portland,Oregon,Rwanda,0,0,4,1,0,0,0,0,0,9,0,0,0,5,0,0,0,19
Brooklyn,New York,Cuba,0,0,1,7,0,0,0,0,1,3,4,3,0,0,0,0,0,19
Lakeville,Minnesota,Ukraine,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,1,19
Livermore,California,Afghanistan,0,6,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,19
Van Nuys,California,Russia,3,9,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,19
Lebanon,Pennsylvania,Cuba,4,0,1,3,0,3,2,0,0,0,0,6,0,0,0,0,0,19
Houston,Texas,Indonesia,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Springfield,Virginia,Iran,5,0,0,4,3,3,0,0,4,0,0,0,0,0,0,0,0,19
Durham,North Carolina,Colombia,0,0,0,0,0,0,0,0,0,0,5,2,0,1,11,0,0,19
