Index,DMA,knives,ford,irishman,farewell,late,sick,logan,brooklyn
80,Portland-Auburn ME,21.0,0.0,33.0,0.0,0.0,26.0,40.0,0.0
81,Minneapolis-St. Paul MN,19.0,41.0,31.0,57.0,17.0,26.0,33.0,52.0
82,Madison WI,19.0,0.0,37.0,0.0,0.0,33.0,28.0,0.0
83,Greenville-Spartanburg SC-Asheville NC-Anderson SC,19.0,0.0,24.0,0.0,0.0,14.0,24.0,0.0
84,Chicago IL,19.0,37.0,39.0,34.0,12.0,20.0,23.0,46.0
85,Atlanta GA,19.0,14.0,16.0,16.0,6.0,10.0,17.0,61.0
86,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,19.0,0.0,24.0,0.0,0.0,41.0,43.0,0.0
87,Los Angeles CA,18.0,25.0,41.0,64.0,13.0,23.0,29.0,58.0
88,St. Louis MO,18.0,34.0,31.0,0.0,18.0,21.0,25.0,0.0
89,Tyler-Longview(Lufkin & Nacogdoches) TX,18.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
90,Portland OR,18.0,80.0,28.0,41.0,29.0,22.0,30.0,58.0
91,Buffalo NY,18.0,0.0,33.0,0.0,0.0,19.0,27.0,0.0
92,Bakersfield CA,18.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
93,New York NY,18.0,18.0,61.0,58.0,18.0,31.0,26.0,76.0
94,Baltimore MD,18.0,0.0,32.0,63.0,21.0,34.0,32.0,72.0
95,Charleston SC,18.0,0.0,54.0,0.0,0.0,60.0,19.0,0.0
96,San Antonio TX,18.0,26.0,19.0,17.0,0.0,22.0,22.0,0.0
97,Florence-Myrtle Beach SC,17.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
98,New Orleans LA,17.0,0.0,22.0,0.0,0.0,11.0,22.0,0.0
99,Greensboro-High Point-Winston Salem NC,17.0,0.0,25.0,0.0,0.0,29.0,28.0,0.0
100,Albany-Schenectady-Troy NY,17.0,0.0,44.0,0.0,0.0,20.0,21.0,0.0
101,Philadelphia PA,17.0,25.0,47.0,24.0,12.0,22.0,26.0,46.0
102,Miami-Ft. Lauderdale FL,17.0,14.0,28.0,9.0,13.0,20.0,21.0,50.0
