,DMA,knives,ford,irishman,farewell,late,sick,logan,brooklyn
143,Lafayette IN,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0
144,Butte-Bozeman MT,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
145,Marquette MI,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
146,Utica NY,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0
147,Alexandria LA,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
148,Montgomery (Selma) AL,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
149,Rapid City SD,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
150,Harrisonburg VA,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
151,Jackson TN,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
152,Bluefield-Beckley-Oak Hill WV,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
153,Biloxi-Gulfport MS,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
154,Wichita Falls TX & Lawton OK,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
155,Monroe LA-El Dorado AR,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
156,Columbus-Tupelo-West Point MS,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
157,Wausau-Rhinelander WI,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
158,Minot-Bismarck-Dickinson(Williston) ND,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
159,Albany GA,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
160,Beaumont-Port Arthur TX,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
161,Salisbury MD,0.0,0.0,0.0,0.0,0.0,43.0,23.0,0.0
162,Yuma AZ-El Centro CA,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
163,Youngstown OH,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
164,Columbus GA,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
165,Binghamton NY,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
166,Macon GA,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
167,Erie PA,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
168,Greenville-New Bern-Washington NC,0.0,0.0,0.0,0.0,0.0,20.0,23.0,0.0
169,Watertown NY,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0
170,Presque Isle ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Wheeling WV-Steubenville OH,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0
172,Lima OH,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
173,Elmira NY,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
174,Terre Haute IN,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
175,Charlottesville VA,0.0,0.0,0.0,0.0,0.0,74.0,43.0,0.0
176,Zanesville OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Parkersburg WV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Clarksburg-Weston WV,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
179,Joplin MO-Pittsburg KS,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
180,Dothan AL,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
181,Sioux City IA,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
182,Victoria TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Ottumwa IA-Kirksville MO,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
184,Amarillo TX,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
185,St. Joseph MO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Lake Charles LA,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
187,Panama City FL,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
188,Sherman TX-Ada OK,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
189,San Angelo TX,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
190,Abilene-Sweetwater TX,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
191,Duluth MN-Superior WI,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
192,Tyler-Longview(Lufkin & Nacogdoches) TX,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
193,Hattiesburg-Laurel MS,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
194,Meridian MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Quincy IL-Hannibal MO-Keokuk IA,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
196,Jonesboro AR,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
197,Bowling Green KY,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
198,Mankato MN,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0
199,North Platte NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Juneau AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Laredo TX,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
202,Great Falls MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Billings MT,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
204,Cheyenne WY-Scottsbluff NE,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
205,Grand Junction-Montrose CO,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
206,Glendive MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Bakersfield CA,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
208,Medford-Klamath Falls OR,0.0,0.0,0.0,0.0,0.0,68.0,47.0,0.0
209,Bend OR,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
210,Alaska,0,0,0,0,0,0,0,0
