Index,year,statefip,age_cohorts,TotalAll,totalNat,totalFor,TotalWork,workFor,workNat,foreignBorn,nativeBorn,foreignTotalPer,foreignWorkPer
50,2000,Arizona,70-74,5133711,4471537,662174,2591894,421104,2170790,14206,161895,0.128985445,0.162469607
51,2000,Arizona,75-79,5133711,4471537,662174,2591894,421104,2170790,11066,131938,0.128985445,0.162469607
52,2000,Arizona,80-84,5133711,4471537,662174,2591894,421104,2170790,6017,86063,0.128985445,0.162469607
53,2000,Arizona,85+,5133711,4471537,662174,2591894,421104,2170790,5719,62797,0.128985445,0.162469607
54,2000,Arkansas,0-4,2672286,2599408,72878,1358352,46476,1311876,1840,179910,0.027271782,0.03421499
55,2000,Arkansas,5-9,2672286,2599408,72878,1358352,46476,1311876,2486,183355,0.027271782,0.03421499
56,2000,Arkansas,10-14,2672286,2599408,72878,1358352,46476,1311876,3243,186058,0.027271782,0.03421499
57,2000,Arkansas,15-19,2672286,2599408,72878,1358352,46476,1311876,5248,189637,0.027271782,0.03421499
58,2000,Arkansas,20-24,2672286,2599408,72878,1358352,46476,1311876,8735,179077,0.027271782,0.03421499
59,2000,Arkansas,25-29,2672286,2599408,72878,1358352,46476,1311876,11080,164536,0.027271782,0.03421499
60,2000,Arkansas,30-34,2672286,2599408,72878,1358352,46476,1311876,8246,163608,0.027271782,0.03421499
61,2000,Arkansas,35-39,2672286,2599408,72878,1358352,46476,1311876,8378,196058,0.027271782,0.03421499
62,2000,Arkansas,40-44,2672286,2599408,72878,1358352,46476,1311876,6104,193257,0.027271782,0.03421499
63,2000,Arkansas,45-49,2672286,2599408,72878,1358352,46476,1311876,4212,181173,0.027271782,0.03421499
64,2000,Arkansas,50-54,2672286,2599408,72878,1358352,46476,1311876,3484,163393,0.027271782,0.03421499
65,2000,Arkansas,55-59,2672286,2599408,72878,1358352,46476,1311876,2679,134302,0.027271782,0.03421499
66,2000,Arkansas,60-64,2672286,2599408,72878,1358352,46476,1311876,2293,115549,0.027271782,0.03421499
67,2000,Arkansas,65-69,2672286,2599408,72878,1358352,46476,1311876,1608,103875,0.027271782,0.03421499
68,2000,Arkansas,70-74,2672286,2599408,72878,1358352,46476,1311876,1487,91628,0.027271782,0.03421499
69,2000,Arkansas,75-79,2672286,2599408,72878,1358352,46476,1311876,996,75464,0.027271782,0.03421499
70,2000,Arkansas,80-84,2672286,2599408,72878,1358352,46476,1311876,472,52349,0.027271782,0.03421499
71,2000,Arkansas,85+,2672286,2599408,72878,1358352,46476,1311876,287,46179,0.027271782,0.03421499
72,2000,California,0-4,33884660,24999361,8885299,17725336,6156585,11568751,101973,2350433,0.262221873,0.347332485
73,2000,California,5-9,33884660,24999361,8885299,17725336,6156585,11568751,191548,2562575,0.262221873,0.347332485
74,2000,California,10-14,33884660,24999361,8885299,17725336,6156585,11568751,323880,2265908,0.262221873,0.347332485
75,2000,California,15-19,33884660,24999361,8885299,17725336,6156585,11568751,496558,1913046,0.262221873,0.347332485
76,2000,California,20-24,33884660,24999361,8885299,17725336,6156585,11568751,770226,1596913,0.262221873,0.347332485
77,2000,California,25-29,33884660,24999361,8885299,17725336,6156585,11568751,1005661,1497784,0.262221873,0.347332485
78,2000,California,30-34,33884660,24999361,8885299,17725336,6156585,11568751,1083150,1576721,0.262221873,0.347332485
79,2000,California,35-39,33884660,24999361,8885299,17725336,6156585,11568751,1076496,1831350,0.262221873,0.347332485
80,2000,California,40-44,33884660,24999361,8885299,17725336,6156585,11568751,930513,1813925,0.262221873,0.347332485
81,2000,California,45-49,33884660,24999361,8885299,17725336,6156585,11568751,745473,1610465,0.262221873,0.347332485
82,2000,California,50-54,33884660,24999361,8885299,17725336,6156585,11568751,570724,1395253,0.262221873,0.347332485
83,2000,California,55-59,33884660,24999361,8885299,17725336,6156585,11568751,407759,1035303,0.262221873,0.347332485
84,2000,California,60-64,33884660,24999361,8885299,17725336,6156585,11568751,336809,807950,0.262221873,0.347332485
85,2000,California,65-69,33884660,24999361,8885299,17725336,6156585,11568751,270875,709190,0.262221873,0.347332485
86,2000,California,70-74,33884660,24999361,8885299,17725336,6156585,11568751,223761,684840,0.262221873,0.347332485
87,2000,California,75-79,33884660,24999361,8885299,17725336,6156585,11568751,167930,604175,0.262221873,0.347332485
88,2000,California,80-84,33884660,24999361,8885299,17725336,6156585,11568751,97793,402314,0.262221873,0.347332485
89,2000,California,85+,33884660,24999361,8885299,17725336,6156585,11568751,84170,341216,0.262221873,0.347332485
90,2000,Colorado,0-4,4300832,3930156,370676,2354996,238467,2116529,8915,289816,0.086187045,0.101260045
91,2000,Colorado,5-9,4300832,3930156,370676,2354996,238467,2116529,13453,296187,0.086187045,0.101260045
92,2000,Colorado,10-14,4300832,3930156,370676,2354996,238467,2116529,17512,295289,0.086187045,0.101260045
93,2000,Colorado,15-19,4300832,3930156,370676,2354996,238467,2116529,23546,280497,0.086187045,0.101260045
94,2000,Colorado,20-24,4300832,3930156,370676,2354996,238467,2116529,41071,262484,0.086187045,0.101260045
95,2000,Colorado,25-29,4300832,3930156,370676,2354996,238467,2116529,50507,279979,0.086187045,0.101260045
96,2000,Colorado,30-34,4300832,3930156,370676,2354996,238467,2116529,46320,283839,0.086187045,0.101260045
97,2000,Colorado,35-39,4300832,3930156,370676,2354996,238467,2116529,40784,331293,0.086187045,0.101260045
98,2000,Colorado,40-44,4300832,3930156,370676,2354996,238467,2116529,32750,341728,0.086187045,0.101260045
99,2000,Colorado,45-49,4300832,3930156,370676,2354996,238467,2116529,24141,311866,0.086187045,0.101260045
100,2000,Colorado,50-54,4300832,3930156,370676,2354996,238467,2116529,19966,256772,0.086187045,0.101260045
101,2000,Colorado,55-59,4300832,3930156,370676,2354996,238467,2116529,13437,179936,0.086187045,0.101260045
102,2000,Colorado,60-64,4300832,3930156,370676,2354996,238467,2116529,10562,131116,0.086187045,0.101260045
103,2000,Colorado,65-69,4300832,3930156,370676,2354996,238467,2116529,9092,110976,0.086187045,0.101260045
104,2000,Colorado,70-74,4300832,3930156,370676,2354996,238467,2116529,7073,100522,0.086187045,0.101260045
105,2000,Colorado,75-79,4300832,3930156,370676,2354996,238467,2116529,5349,78309,0.086187045,0.101260045
106,2000,Colorado,80-84,4300832,3930156,370676,2354996,238467,2116529,3148,54707,0.086187045,0.101260045
107,2000,Colorado,85+,4300832,3930156,370676,2354996,238467,2116529,3050,44840,0.086187045,0.101260045
108,2000,Connecticut,0-4,3408068,3040510,367558,1823308,245259,1578049,4459,217535,0.107849374,0.134513203
109,2000,Connecticut,5-9,3408068,3040510,367558,1823308,245259,1578049,8431,234169,0.107849374,0.134513203
110,2000,Connecticut,10-14,3408068,3040510,367558,1823308,245259,1578049,11899,233690,0.107849374,0.134513203
111,2000,Connecticut,15-19,3408068,3040510,367558,1823308,245259,1578049,16516,195473,0.107849374,0.134513203
112,2000,Connecticut,20-24,3408068,3040510,367558,1823308,245259,1578049,24756,166453,0.107849374,0.134513203
113,2000,Connecticut,25-29,3408068,3040510,367558,1823308,245259,1578049,30846,167926,0.107849374,0.134513203
114,2000,Connecticut,30-34,3408068,3040510,367558,1823308,245259,1578049,36737,213151,0.107849374,0.134513203
115,2000,Connecticut,35-39,3408068,3040510,367558,1823308,245259,1578049,40495,250672,0.107849374,0.134513203
116,2000,Connecticut,40-44,3408068,3040510,367558,1823308,245259,1578049,37050,257853,0.107849374,0.134513203
117,2000,Connecticut,45-49,3408068,3040510,367558,1823308,245259,1578049,30582,223171,0.107849374,0.134513203
118,2000,Connecticut,50-54,3408068,3040510,367558,1823308,245259,1578049,27992,199602,0.107849374,0.134513203
119,2000,Connecticut,55-59,3408068,3040510,367558,1823308,245259,1578049,21473,154129,0.107849374,0.134513203
120,2000,Connecticut,60-64,3408068,3040510,367558,1823308,245259,1578049,20084,111545,0.107849374,0.134513203
121,2000,Connecticut,65-69,3408068,3040510,367558,1823308,245259,1578049,14147,101466,0.107849374,0.134513203
122,2000,Connecticut,70-74,3408068,3040510,367558,1823308,245259,1578049,13904,102603,0.107849374,0.134513203
123,2000,Connecticut,75-79,3408068,3040510,367558,1823308,245259,1578049,11722,86196,0.107849374,0.134513203
124,2000,Connecticut,80-84,3408068,3040510,367558,1823308,245259,1578049,7669,69110,0.107849374,0.134513203
125,2000,Connecticut,85+,3408068,3040510,367558,1823308,245259,1578049,8796,55766,0.107849374,0.134513203
126,2000,Delaware,0-4,783216,737835,45381,412390,29894,382496,746,50719,0.05794187,0.072489634
127,2000,Delaware,5-9,783216,737835,45381,412390,29894,382496,1310,57048,0.05794187,0.072489634
128,2000,Delaware,10-14,783216,737835,45381,412390,29894,382496,1618,52717,0.05794187,0.072489634
129,2000,Delaware,15-19,783216,737835,45381,412390,29894,382496,2630,50331,0.05794187,0.072489634
130,2000,Delaware,20-24,783216,737835,45381,412390,29894,382496,4172,48095,0.05794187,0.072489634
131,2000,Delaware,25-29,783216,737835,45381,412390,29894,382496,5701,45239,0.05794187,0.072489634
132,2000,Delaware,30-34,783216,737835,45381,412390,29894,382496,5607,51228,0.05794187,0.072489634
133,2000,Delaware,35-39,783216,737835,45381,412390,29894,382496,4593,62302,0.05794187,0.072489634
134,2000,Delaware,40-44,783216,737835,45381,412390,29894,382496,3848,60997,0.05794187,0.072489634
135,2000,Delaware,45-49,783216,737835,45381,412390,29894,382496,3290,50917,0.05794187,0.072489634
136,2000,Delaware,50-54,783216,737835,45381,412390,29894,382496,2641,45267,0.05794187,0.072489634
137,2000,Delaware,55-59,783216,737835,45381,412390,29894,382496,2183,36748,0.05794187,0.072489634
138,2000,Delaware,60-64,783216,737835,45381,412390,29894,382496,2031,29798,0.05794187,0.072489634
139,2000,Delaware,65-69,783216,737835,45381,412390,29894,382496,1446,27964,0.05794187,0.072489634
140,2000,Delaware,70-74,783216,737835,45381,412390,29894,382496,1239,25284,0.05794187,0.072489634
141,2000,Delaware,75-79,783216,737835,45381,412390,29894,382496,1269,20047,0.05794187,0.072489634
142,2000,Delaware,80-84,783216,737835,45381,412390,29894,382496,481,12867,0.05794187,0.072489634
143,2000,Delaware,85+,783216,737835,45381,412390,29894,382496,576,10267,0.05794187,0.072489634
144,2000,District of Columbia,0-4,571753,498077,73676,314733,51559,263174,1088,31929,0.12885984,0.16381822100000000
145,2000,District of Columbia,5-9,571753,498077,73676,314733,51559,263174,1293,34070,0.12885984,0.16381822100000000
146,2000,District of Columbia,10-14,571753,498077,73676,314733,51559,263174,1867,27711,0.12885984,0.16381822100000000
147,2000,District of Columbia,15-19,571753,498077,73676,314733,51559,263174,3527,35034,0.12885984,0.16381822100000000
148,2000,District of Columbia,20-24,571753,498077,73676,314733,51559,263174,7763,42805,0.12885984,0.16381822100000000
149,2000,District of Columbia,25-29,571753,498077,73676,314733,51559,263174,10409,41583,0.12885984,0.16381822100000000
150,2000,District of Columbia,30-34,571753,498077,73676,314733,51559,263174,9989,38708,0.12885984,0.16381822100000000
151,2000,District of Columbia,35-39,571753,498077,73676,314733,51559,263174,8582,38745,0.12885984,0.16381822100000000
152,2000,District of Columbia,40-44,571753,498077,73676,314733,51559,263174,6285,35632,0.12885984,0.16381822100000000
153,2000,District of Columbia,45-49,571753,498077,73676,314733,51559,263174,5370,34868,0.12885984,0.16381822100000000
154,2000,District of Columbia,50-54,571753,498077,73676,314733,51559,263174,4483,31184,0.12885984,0.16381822100000000
155,2000,District of Columbia,55-59,571753,498077,73676,314733,51559,263174,3483,23646,0.12885984,0.16381822100000000
156,2000,District of Columbia,60-64,571753,498077,73676,314733,51559,263174,2958,18808,0.12885984,0.16381822100000000
157,2000,District of Columbia,65-69,571753,498077,73676,314733,51559,263174,1779,15722,0.12885984,0.16381822100000000
158,2000,District of Columbia,70-74,571753,498077,73676,314733,51559,263174,1862,16598,0.12885984,0.16381822100000000
159,2000,District of Columbia,75-79,571753,498077,73676,314733,51559,263174,1428,13963,0.12885984,0.16381822100000000
160,2000,District of Columbia,80-84,571753,498077,73676,314733,51559,263174,972,9197,0.12885984,0.16381822100000000
161,2000,District of Columbia,85+,571753,498077,73676,314733,51559,263174,538,7874,0.12885984,0.16381822100000000
162,2000,Florida,0-4,15986890,13320880,2666010,8222646,1743259,6479387,22254,911529,0.166762266,0.21200706
163,2000,Florida,5-9,15986890,13320880,2666010,8222646,1743259,6479387,54124,983749,0.166762266,0.21200706
164,2000,Florida,10-14,15986890,13320880,2666010,8222646,1743259,6479387,84929,983349,0.166762266,0.21200706
165,2000,Florida,15-19,15986890,13320880,2666010,8222646,1743259,6479387,126574,866355,0.166762266,0.21200706
166,2000,Florida,20-24,15986890,13320880,2666010,8222646,1743259,6479387,179373,745348,0.166762266,0.21200706
167,2000,Florida,25-29,15986890,13320880,2666010,8222646,1743259,6479387,217628,763293,0.166762266,0.21200706
168,2000,Florida,30-34,15986890,13320880,2666010,8222646,1743259,6479387,252124,823980,0.166762266,0.21200706
169,2000,Florida,35-39,15986890,13320880,2666010,8222646,1743259,6479387,291783,999810,0.166762266,0.21200706
170,2000,Florida,40-44,15986890,13320880,2666010,8222646,1743259,6479387,268218,984778,0.166762266,0.21200706
171,2000,Florida,45-49,15986890,13320880,2666010,8222646,1743259,6479387,225942,864449,0.166762266,0.21200706
172,2000,Florida,50-54,15986890,13320880,2666010,8222646,1743259,6479387,188176,785275,0.166762266,0.21200706
173,2000,Florida,55-59,15986890,13320880,2666010,8222646,1743259,6479387,152341,665243,0.166762266,0.21200706
174,2000,Florida,60-64,15986890,13320880,2666010,8222646,1743259,6479387,147047,592559,0.166762266,0.21200706
175,2000,Florida,65-69,15986890,13320880,2666010,8222646,1743259,6479387,129293,596909,0.166762266,0.21200706
176,2000,Florida,70-74,15986890,13320880,2666010,8222646,1743259,6479387,117194,606833,0.166762266,0.21200706
177,2000,Florida,75-79,15986890,13320880,2666010,8222646,1743259,6479387,94068,518363,0.166762266,0.21200706
178,2000,Florida,80-84,15986890,13320880,2666010,8222646,1743259,6479387,60819,354280,0.166762266,0.21200706
179,2000,Florida,85+,15986890,13320880,2666010,8222646,1743259,6479387,54123,274778,0.166762266,0.21200706
180,2000,Georgia,0-4,8186187,7607551,578636,4403875,382530,4021345,9827,585495,0.070684435,0.086862138
181,2000,Georgia,5-9,8186187,7607551,578636,4403875,382530,4021345,19328,594811,0.070684435,0.086862138
182,2000,Georgia,10-14,8186187,7607551,578636,4403875,382530,4021345,23605,585073,0.070684435,0.086862138
183,2000,Georgia,15-19,8186187,7607551,578636,4403875,382530,4021345,41584,541953,0.070684435,0.086862138
184,2000,Georgia,20-24,8186187,7607551,578636,4403875,382530,4021345,73843,520391,0.070684435,0.086862138
185,2000,Georgia,25-29,8186187,7607551,578636,4403875,382530,4021345,85152,552099,0.070684435,0.086862138
186,2000,Georgia,30-34,8186187,7607551,578636,4403875,382530,4021345,73941,577110,0.070684435,0.086862138
187,2000,Georgia,35-39,8186187,7607551,578636,4403875,382530,4021345,67978,648948,0.070684435,0.086862138
188,2000,Georgia,40-44,8186187,7607551,578636,4403875,382530,4021345,52944,609812,0.070684435,0.086862138
189,2000,Georgia,45-49,8186187,7607551,578636,4403875,382530,4021345,39320,533592,0.070684435,0.086862138
190,2000,Georgia,50-54,8186187,7607551,578636,4403875,382530,4021345,28968,474736,0.070684435,0.086862138
191,2000,Georgia,55-59,8186187,7607551,578636,4403875,382530,4021345,19550,353883,0.070684435,0.086862138
192,2000,Georgia,60-64,8186187,7607551,578636,4403875,382530,4021345,14677,271165,0.070684435,0.086862138
193,2000,Georgia,65-69,8186187,7607551,578636,4403875,382530,4021345,9863,222036,0.070684435,0.086862138
194,2000,Georgia,70-74,8186187,7607551,578636,4403875,382530,4021345,8100,197520,0.070684435,0.086862138
195,2000,Georgia,75-79,8186187,7607551,578636,4403875,382530,4021345,5270,150817,0.070684435,0.086862138
196,2000,Georgia,80-84,8186187,7607551,578636,4403875,382530,4021345,2398,102593,0.070684435,0.086862138
197,2000,Georgia,85+,8186187,7607551,578636,4403875,382530,4021345,2288,85517,0.070684435,0.086862138
198,2000,Hawaii,0-4,1211717,998189,213528,640935,145792,495143,1955,75535,0.176219365,0.22746768400000000
199,2000,Hawaii,5-9,1211717,998189,213528,640935,145792,495143,3585,80807,0.176219365,0.22746768400000000
200,2000,Hawaii,10-14,1211717,998189,213528,640935,145792,495143,6162,77560,0.176219365,0.22746768400000000
201,2000,Hawaii,15-19,1211717,998189,213528,640935,145792,495143,8023,71618,0.176219365,0.22746768400000000
202,2000,Hawaii,20-24,1211717,998189,213528,640935,145792,495143,13617,70564,0.176219365,0.22746768400000000
203,2000,Hawaii,25-29,1211717,998189,213528,640935,145792,495143,17382,65849,0.176219365,0.22746768400000000
204,2000,Hawaii,30-34,1211717,998189,213528,640935,145792,495143,19871,62470,0.176219365,0.22746768400000000
205,2000,Hawaii,35-39,1211717,998189,213528,640935,145792,495143,21219,76032,0.176219365,0.22746768400000000
206,2000,Hawaii,40-44,1211717,998189,213528,640935,145792,495143,23743,76962,0.176219365,0.22746768400000000
207,2000,Hawaii,45-49,1211717,998189,213528,640935,145792,495143,20067,72226,0.176219365,0.22746768400000000
208,2000,Hawaii,50-54,1211717,998189,213528,640935,145792,495143,17093,61969,0.176219365,0.22746768400000000
209,2000,Hawaii,55-59,1211717,998189,213528,640935,145792,495143,14056,45729,0.176219365,0.22746768400000000
210,2000,Hawaii,60-64,1211717,998189,213528,640935,145792,495143,12361,33906,0.176219365,0.22746768400000000
211,2000,Hawaii,65-69,1211717,998189,213528,640935,145792,495143,10556,32453,0.176219365,0.22746768400000000
212,2000,Hawaii,70-74,1211717,998189,213528,640935,145792,495143,9242,33302,0.176219365,0.22746768400000000
213,2000,Hawaii,75-79,1211717,998189,213528,640935,145792,495143,7088,28530,0.176219365,0.22746768400000000
214,2000,Hawaii,80-84,1211717,998189,213528,640935,145792,495143,3539,18956,0.176219365,0.22746768400000000
215,2000,Hawaii,85+,1211717,998189,213528,640935,145792,495143,3969,13721,0.176219365,0.22746768400000000
216,2000,Idaho,0-4,1294016,1229978,64038,640484,41092,599392,990,97240,0.049487796000000000,0.064157731
217,2000,Idaho,5-9,1294016,1229978,64038,640484,41092,599392,2226,97767,0.049487796000000000,0.064157731
218,2000,Idaho,10-14,1294016,1229978,64038,640484,41092,599392,3217,100758,0.049487796000000000,0.064157731
219,2000,Idaho,15-19,1294016,1229978,64038,640484,41092,599392,4747,103100,0.049487796000000000,0.064157731
220,2000,Idaho,20-24,1294016,1229978,64038,640484,41092,599392,6227,90137,0.049487796000000000,0.064157731
221,2000,Idaho,25-29,1294016,1229978,64038,640484,41092,599392,7761,75538,0.049487796000000000,0.064157731
222,2000,Idaho,30-34,1294016,1229978,64038,640484,41092,599392,8462,76261,0.049487796000000000,0.064157731
223,2000,Idaho,35-39,1294016,1229978,64038,640484,41092,599392,7217,88976,0.049487796000000000,0.064157731
224,2000,Idaho,40-44,1294016,1229978,64038,640484,41092,599392,5823,93210,0.049487796000000000,0.064157731
225,2000,Idaho,45-49,1294016,1229978,64038,640484,41092,599392,4165,88261,0.049487796000000000,0.064157731
226,2000,Idaho,50-54,1294016,1229978,64038,640484,41092,599392,3278,75018,0.049487796000000000,0.064157731
227,2000,Idaho,55-59,1294016,1229978,64038,640484,41092,599392,2554,57335,0.049487796000000000,0.064157731
228,2000,Idaho,60-64,1294016,1229978,64038,640484,41092,599392,1832,44793,0.049487796000000000,0.064157731
229,2000,Idaho,65-69,1294016,1229978,64038,640484,41092,599392,1703,37967,0.049487796000000000,0.064157731
230,2000,Idaho,70-74,1294016,1229978,64038,640484,41092,599392,1253,36248,0.049487796000000000,0.064157731
231,2000,Idaho,75-79,1294016,1229978,64038,640484,41092,599392,1304,28625,0.049487796000000000,0.064157731
232,2000,Idaho,80-84,1294016,1229978,64038,640484,41092,599392,610,20848,0.049487796000000000,0.064157731
233,2000,Idaho,85+,1294016,1229978,64038,640484,41092,599392,669,17896,0.049487796000000000,0.064157731
234,2000,Illinois,0-4,12417190,10883241,1533949,6472147,1048755,5423392,21035,851147,0.12353431,0.16204128200000000
235,2000,Illinois,5-9,12417190,10883241,1533949,6472147,1048755,5423392,37153,906566,0.12353431,0.16204128200000000
236,2000,Illinois,10-14,12417190,10883241,1533949,6472147,1048755,5423392,55640,851750,0.12353431,0.16204128200000000
237,2000,Illinois,15-19,12417190,10883241,1533949,6472147,1048755,5423392,82436,791481,0.12353431,0.16204128200000000
238,2000,Illinois,20-24,12417190,10883241,1533949,6472147,1048755,5423392,139344,715794,0.12353431,0.16204128200000000
239,2000,Illinois,25-29,12417190,10883241,1533949,6472147,1048755,5423392,186882,699363,0.12353431,0.16204128200000000
240,2000,Illinois,30-34,12417190,10883241,1533949,6472147,1048755,5423392,180368,729314,0.12353431,0.16204128200000000
241,2000,Illinois,35-39,12417190,10883241,1533949,6472147,1048755,5423392,166446,849274,0.12353431,0.16204128200000000
242,2000,Illinois,40-44,12417190,10883241,1533949,6472147,1048755,5423392,147223,856272,0.12353431,0.16204128200000000
243,2000,Illinois,45-49,12417190,10883241,1533949,6472147,1048755,5423392,123650,744963,0.12353431,0.16204128200000000
244,2000,Illinois,50-54,12417190,10883241,1533949,6472147,1048755,5423392,106321,642519,0.12353431,0.16204128200000000
245,2000,Illinois,55-59,12417190,10883241,1533949,6472147,1048755,5423392,74771,497830,0.12353431,0.16204128200000000
246,2000,Illinois,60-64,12417190,10883241,1533949,6472147,1048755,5423392,63094,403857,0.12353431,0.16204128200000000
247,2000,Illinois,65-69,12417190,10883241,1533949,6472147,1048755,5423392,46493,345051,0.12353431,0.16204128200000000
248,2000,Illinois,70-74,12417190,10883241,1533949,6472147,1048755,5423392,38993,336374,0.12353431,0.16204128200000000
249,2000,Illinois,75-79,12417190,10883241,1533949,6472147,1048755,5423392,29061,285979,0.12353431,0.16204128200000000
250,2000,Illinois,80-84,12417190,10883241,1533949,6472147,1048755,5423392,17074,203093,0.12353431,0.16204128200000000
251,2000,Illinois,85+,12417190,10883241,1533949,6472147,1048755,5423392,17965,172614,0.12353431,0.16204128200000000
252,2000,Indiana,0-4,6081521,5890936,190585,3139505,121622,3017883,4002,415168,0.031338377,0.038739228
