index,statefip,axis_x,axis_y,state_abv,state,bpld_1,bpld_2,bpld_3,bpld_4,bpld_5,bpld_pop1,bpld_pop2,bpld_pop3,bpld_pop4,bpld_pop5,bpld_share1,bpld_share2,bpld_share3,bpld_share4,bpld_share5,recent_bpld1,recent_bpld2,recent_bpld3,recent_bpld4,recent_bpld5,recent_bpld_pop1,recent_bpld_pop2,recent_bpld_pop3,recent_bpld_pop4,recent_bpld_pop5,recent_bpld_share1,recent_bpld_share2,recent_bpld_share3,recent_bpld_share4,recent_bpld_share5,language_1,language_2,language_3,language_4,language_5,updateLang,lanPop_1,lanPop_2,lanPop_3,lanPop_4,lanPop_5,lanShare_1,lanShare_2,lanShare_3,lanShare_4,lanShare_5,profEng_pop,profEng_share,engInd,stateHSocc_FB1,stateHSocc_FB2,stateHSocc_FB3,stateHSocc_FB4,stateHSocc_FB5,stateHSocc_FBpop1,stateHSocc_FBpop2,stateHSocc_FBpop3,stateHSocc_FBpop4,stateHSocc_FBpop5,stateHSocc_FBshare1,stateHSocc_FBshare2,stateHSocc_FBshare3,stateHSocc_FBshare4,stateHSocc_FBshare5,stateHSocc_NB1,stateHSocc_NB2,stateHSocc_NB3,stateHSocc_NB4,stateHSocc_NB5,stateHSocc_NBpop1,stateHSocc_NBpop2,stateHSocc_NBpop3,stateHSocc_NBpop4,stateHSocc_NBpop5,stateHSocc_NBshare1,stateHSocc_NBshare2,stateHSocc_NBshare3,stateHSocc_NBshare4,stateHSocc_NBshare5,stateLSocc_FB1,stateLSocc_FB2,stateLSocc_FB3,stateLSocc_FB4,stateLSocc_FB5,stateLSocc_FBpop1,stateLSocc_FBpop2,stateLSocc_FBpop3,stateLSocc_FBpop4,stateLSocc_FBpop5,stateLSocc_FBshare1,stateLSocc_FBshare2,stateLSocc_FBshare3,stateLSocc_FBshare4,stateLSocc_FBshare5,stateLSocc_NB1,stateLSocc_NB2,stateLSocc_NB3,stateLSocc_NB4,stateLSocc_NB5,stateLSocc_NBpop1,stateLSocc_NBpop2,stateLSocc_NBpop3,stateLSocc_NBpop4,stateLSocc_NBpop5,stateLSocc_NBshare1,stateLSocc_NBshare2,stateLSocc_NBshare3,stateLSocc_NBshare4,stateLSocc_NBshare5
10,Georgia,520,468,GA,Georgia,Mexico,India,Vietnam,Jamaica,Guatemala,232541.0,103213.0,52964.0,46711.0,40686.0,0.214609712,0.095254228,0.048879936,0.043109104,0.037548695,India,Mexico,Guatemala,China,Venezuela,31825.0,25920.0,14465.0,10891.0,10189.0,0.151700035,0.12355271,0.068950228,0.051914066,0.048567846,Spanish,English,Hindi and related,Vietnamese,Sub-Saharan Africa,Hindi,398462.0,227820.0,78043.0,48713.0,40660.0,37.0%,21.1%,7.2%,4.5%,3.8%,833339,0.772991538,1,Management Occupations,Computer Occupations,Healthcare Occupations,Education Occupations,Sales-Related Occupations,43902.0,39068.0,28431.0,25007.0,17861.0,0.168150201,0.149635375,0.108894318,0.09577997,0.068409882,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,268374,228499,154493,130606,113301,0.176302493,0.150107473,0.101490833,0.085798785,0.074430637,Construction and Extraction Occupations,Production Occupations,Transportation and Material Moving Occupations,Grounds Maintenance Occupations,Food Service Occupations,70663.0,53278.0,48670.0,39936.0,36374.0,0.163008779,0.122904226,0.112274274,0.092126265,0.083909273,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Production Occupations,Food Service Occupations,387120,348016,325981,226618,222354,0.136927426,0.123096034,0.115302078,0.080156595,0.078648381
11,Hawaii,100,521,HI,Hawaii,Philippines,Japan,China,Korea,Micronesia,125404.0,21231.0,15212.0,15061.0,11906.0,0.465410769,0.078794427,0.056456164,0.055895757,0.044186633,Philippines,Japan,Micronesia,China,,14054.0,4434.0,4108.0,1580.0,,0.3563568,0.112429634,0.104163498,0.040062882,,"Filipino, Tagalog",English,"Micronesian, Polynesian",Chinese,Japanese,Filipino,110741.0,47321.0,21236.0,20427.0,17858.0,41.4%,17.7%,7.9%,7.6%,6.7%,213953,0.799405932,1,Healthcare Occupations,Management Occupations,Education Occupations,Office Administrative Occupations,Sales-Related Occupations,8921.0,4508.0,4126.0,3899.0,2987.0,0.2103315,0.106285661,0.097279198,0.091927193,0.070424862,Management Occupations,Education Occupations,Healthcare Occupations,Office Administrative Occupations,Sales-Related Occupations,30494,24767,24134,17574,16633,0.156477392,0.127089769,0.123841584,0.090179496,0.085350834,Grounds Maintenance Occupations,Food Service Occupations,Office Administrative Occupations,Sales-Related Occupations,Healthcare Occupations,18130.0,13471.0,11934.0,10998.0,8247.0,0.163412824,0.12141943,0.107565843,0.099129304,0.074333459,Office Administrative Occupations,Sales-Related Occupations,Food Service Occupations,Transportation and Material Moving Occupations,Management Occupations,44622,42505,33690,32820,32061,0.119743995,0.11406298,0.090407759,0.088073097,0.08603631
12,Idaho,160,256,ID,Idaho,Mexico,Canada,China,Philippines,Germany,42656.0,6813.0,2667.0,1947.0,1753.0,0.457093865,0.073006861,0.028579082,0.020863695,0.018784827,,,,,,,,,,,,,,,,Spanish,English,Chinese,,,Chinese,47209.0,22959.0,4836.0,,,50.6%,24.6%,5.2%,,,74034,0.7936919930000000,1,,,,,,,,,,,,,,,,Education Occupations,Management Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,34893,34403,29221,17550,17376,0.155572295,0.153387606,0.130283386,0.078247607,0.077471823,Transportation and Material Moving Occupations,Agricultural Occupations,Construction and Extraction Occupations,Production Occupations,Food Service Occupations,6157.0,5746.0,5522.0,5129.0,4793.0,0.128689066,0.12009865,0.115416773,0.107202575,0.100179754,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Management Occupations,Food Service Occupations,81756,67813,56843,51229,47755,0.145201251,0.120438039,0.100954972,0.09098433,0.084814399
13,Illinois,400,256,IL,Illinois,Mexico,India,Poland,Philippines,China,599327.0,156360.0,120839.0,92625.0,84815.0,0.340229183,0.088763289,0.068598539,0.052581862,0.048148237,India,Mexico,China,Philippines,Venezuela,47274.0,31897.0,20727.0,11714.0,5744.0,0.195296273,0.131771475,0.085626468,0.048392359,0.02372936,Spanish,English,Hindi and related,Polish,Chinese,Hindi,695564.0,224311.0,128725.0,113628.0,87759.0,39.7%,12.8%,7.3%,6.5%,5.0%,1354383,0.772941113,1,Healthcare Occupations,Management Occupations,Computer Occupations,Education Occupations,Sales-Related Occupations,68034.0,57318.0,50938.0,36390.0,25051.0,0.161491245,0.136054844,0.120910734,0.086378373,0.059463166,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,377863,272658,218284,184493,155117,0.181378275,0.130878747,0.104778647,0.088558607,0.074457817,Production Occupations,Transportation and Material Moving Occupations,Food Service Occupations,Grounds Maintenance Occupations,Construction and Extraction Occupations,109656.0,105079.0,71041.0,66319.0,61382.0,0.158871308,0.152240083,0.102925301,0.096083999,0.088931195,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Healthcare Occupations,Production Occupations,437218,366132,353042,275146,240740,0.139695853,0.116983116,0.112800717,0.087912112,0.076919019
14,Indiana,400,309,IN,Indiana,Mexico,India,China,Burma (Myanmar),Philippines,96058.0,34991.0,19593.0,14241.0,12518.0,0.266771466,0.097176708,0.054413512,0.039549984,0.034764882,India,Mexico,China,Venezuela,Nigeria,13331.0,11253.0,7971.0,4813.0,4448.0,0.166894093,0.140879095,0.099790931,0.060255144,0.055685617,Spanish,English,Hindi and related,Chinese,"Burmese, Lisu, Lolo",Hindi,120840.0,79233.0,29178.0,19406.0,16643.0,34.0%,22.3%,8.2%,5.5%,4.7%,290360,0.816652536,1,Management Occupations,Education Occupations,Healthcare Occupations,Computer Occupations,Science Occupations,12153.0,12043.0,10547.0,7997.0,5712.0,0.14662838,0.145301208,0.12725167,0.096485406,0.068916425,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,144937,129050,112827,67915,66560,0.163610891,0.145676985,0.127363801,0.076665267,0.075135686,Production Occupations,Transportation and Material Moving Occupations,Food Service Occupations,Office Administrative Occupations,Construction and Extraction Occupations,28388.0,17364.0,14153.0,13248.0,12658.0,0.211121276,0.129135892,0.105255723,0.098525248,0.094137423,Production Occupations,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Healthcare Occupations,284005,274444,261042,221149,172807,0.13066712,0.126268238,0.120102137,0.10174787,0.079506323
15,Iowa,340,309,IA,Iowa,Mexico,India,China,Bosnia,Vietnam,37676.0,11569.0,10487.0,9328.0,8796.0,0.214060888,0.065730713,0.059583195,0.052998193,0.04997557,China,Mexico,,,,4398.0,2701.0,,,,0.11921607,0.073215686,,,,Spanish,English,Arabic,Chinese,"Serbo-Croatian, Yugoslavian, Slavonian",Arabic,56022.0,31668.0,12382.0,9688.0,9225.0,32.0%,18.1%,7.1%,5.5%,5.3%,134761,0.768876612,1,Computer Occupations,Healthcare Occupations,Education Occupations,,,6752.0,6425.0,5917.0,,,0.179088637,0.170415357,0.15694128,,,Education Occupations,Management Occupations,Healthcare Occupations,Office Administrative Occupations,Sales-Related Occupations,76087,75953,48267,43487,35372,0.163093776,0.162806556,0.103461139,0.093215123,0.075820483,Production Occupations,Transportation and Material Moving Occupations,Grounds Maintenance Occupations,Food Service Occupations,Healthcare Occupations,19590.0,12505.0,6368.0,5496.0,4679.0,0.25394398,0.162101552,0.082547992,0.071244314,0.06065359,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Production Occupations,Management Occupations,137453,125754,102398,99034,88754,0.132709056,0.121413819,0.098863915,0.095616013,0.085690811
16,Kansas,280,415,KS,Kansas,Mexico,India,Vietnam,Guatemala,China,79283.0,10437.0,9902.0,9753.0,8574.0,0.389817327,0.05131647,0.04868599,0.04795339,0.042156503,Mexico,India,,,,8135.0,3159.0,,,,0.185303301,0.071957357,,,,Spanish,English,Chinese,Vietnamese,Dravidian,Chinese,97242.0,27177.0,9779.0,8707.0,6714.0,48.2%,13.5%,4.8%,4.3%,3.3%,141622,0.701762557,0,Computer Occupations,Management Occupations,Education Occupations,Engineering Occupations,Healthcare Occupations,6190.0,5217.0,4066.0,2757.0,2687.0,0.174385846,0.14697431,0.114548117,0.077670723,0.075698674,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,82649,69307,58470,37877,30243,0.180761412,0.151581168,0.12787959,0.082840689,0.066144384,Production Occupations,Construction and Extraction Occupations,Transportation and Material Moving Occupations,Grounds Maintenance Occupations,Food Service Occupations,15660.0,14089.0,10245.0,9980.0,9885.0,0.163111404,0.146748185,0.10670986,0.103949673,0.102960169,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Healthcare Occupations,Production Occupations,111896,91937,90907,80717,80014,0.127980754,0.105152696,0.103974633,0.092319854,0.091515794
17,Kentucky,400,362,KY,Kentucky,Mexico,India,Cuba,China,Philippines,34591.0,18181.0,16465.0,6911.0,6579.0,0.183243185,0.096312463,0.087222084,0.036610495,0.034851752,India,Cuba,Mexico,,,8672.0,6475.0,3844.0,,,0.159408838,0.119023547,0.070660464,,,Spanish,English,Hindi and related,Arabic,Dravidian,Hindi,63739.0,35454.0,12935.0,10080.0,7808.0,34.1%,19.0%,6.9%,5.4%,4.2%,152838,0.818747222,1,Healthcare Occupations,Education Occupations,Management Occupations,Computer Occupations,Transportation and Material Moving Occupations,7869.0,5818.0,5429.0,4865.0,3576.0,0.174270272,0.128847942,0.120232977,0.107742392,0.079195641,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,92853,86124,83680,41191,37661,0.166320369,0.154267222,0.149889484,0.073782235,0.067459226,Production Occupations,Transportation and Material Moving Occupations,Construction and Extraction Occupations,Sales-Related Occupations,Grounds Maintenance Occupations,14852.0,10691.0,7760.0,6895.0,5737.0,0.198593318,0.142954558,0.103762738,0.092196397,0.076712221,Office Administrative Occupations,Transportation and Material Moving Occupations,Production Occupations,Sales-Related Occupations,Healthcare Occupations,169669,155567,145895,143366,109712,0.126786605,0.116248764,0.109021276,0.107131459,0.081983224
18,Louisiana,340,468,LA,Louisiana,Honduras,Mexico,Vietnam,Cuba,India,36641.0,26524.0,21986.0,11353.0,8644.0,0.187778339,0.135930583,0.112674177,0.058182023,0.044298898,Honduras,Mexico,India,Vietnam,,15192.0,6015.0,3369.0,3300.0,,0.279018521,0.110472374,0.061875552,0.060608286,,Spanish,English,Vietnamese,Hindi and related,Chinese,Vietnamese,91524.0,35063.0,18833.0,7633.0,6605.0,47.5%,18.2%,9.8%,4.0%,3.4%,138114,0.717128873,0,Education Occupations,Healthcare Occupations,Management Occupations,Engineering Occupations,Computer Occupations,5558.0,4409.0,4128.0,3504.0,2314.0,0.163624585,0.129798636,0.121526144,0.103155911,0.068122938,Education Occupations,Healthcare Occupations,Management Occupations,Sales-Related Occupations,Office Administrative Occupations,91485,84131,83966,46694,39766,0.165173247,0.151895836,0.151597932,0.084304526,0.071796238,Construction and Extraction Occupations,Grounds Maintenance Occupations,Food Service Occupations,Sales-Related Occupations,Personal Care Service Occupations,18716.0,9164.0,7900.0,7868.0,5507.0,0.243624955,0.119287193,0.102833785,0.102417246,0.071684264,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Healthcare Occupations,Construction and Extraction Occupations,170595,151538,141252,131956,110999,0.12231601,0.108652212,0.101277187,0.094611987,0.079585895
19,Maine,700,150,ME,Maine,Canada,China,Germany,,,9938.0,2268.0,1645.0,,,0.200698748,0.045802452,0.033220913,,,,,,,,,,,,,,,,,,English,French,Spanish,,,French,22369.0,5106.0,4026.0,,,45.6%,10.4%,8.2%,,,44435,0.9061894420000000,1,,,,,,,,,,,,,,,,Management Occupations,Education Occupations,Healthcare Occupations,Office Administrative Occupations,Sales-Related Occupations,40045,36527,30375,16063,13207,0.17579557,0.160351723,0.133344755,0.070515774,0.057978075,Healthcare Occupations,,,,,2635.0,,,,,0.17393887,,,,,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Healthcare Occupations,Construction and Extraction Occupations,55709,44433,37600,36632,33272,0.130939513,0.104436181,0.08837577,0.086100563,0.078203149
20,Maryland,580,362,MD,Maryland,El Salvador,India,Guatemala,China,Nigeria,119690.0,67289.0,43589.0,40889.0,38563.0,0.12975356,0.072946668,0.04725397,0.044326954,0.041805383,El Salvador,India,Guatemala,Nigeria,China,23071.0,13583.0,12571.0,12275.0,9265.0,0.126792297,0.074648686,0.069086991,0.067460254,0.050918065,Spanish,English,Hindi and related,Sub-Saharan Africa,Chinese,Hindi,284357.0,183776.0,58460.0,56431.0,52968.0,31.0%,20.1%,6.4%,6.2%,5.8%,740460,0.808392465,1,Healthcare Occupations,Management Occupations,Computer Occupations,Education Occupations,Science Occupations,42876.0,31909.0,30820.0,21765.0,21110.0,0.166793749,0.124130554,0.119894192,0.084668949,0.082120903,Management Occupations,Education Occupations,Healthcare Occupations,Business Operations Specialists,Computer Occupations,200105,136445,102973,90859,82098,0.180614844,0.123155311,0.092943467,0.082009368,0.074101686,Construction and Extraction Occupations,Grounds Maintenance Occupations,Food Service Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,57875.0,41482.0,35249.0,30753.0,28776.0,0.16627498,0.119177863,0.101270445,0.088353425,0.082673497,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Management Occupations,Food Service Occupations,201644,141024,140732,115558,109070,0.142090365,0.099373907,0.099168152,0.081429049,0.076857217
21,Massachusetts,640,256,MA,Massachusetts,China,Brazil,Dominican Republic,India,Haiti,109953.0,93708.0,92675.0,85426.0,59605.0,0.092311375,0.078672834,0.077805579,0.071719654,0.050041556,Brazil,China,India,Dominican Republic,Guatemala,41378.0,33053.0,28696.0,20675.0,13436.0,0.157374486,0.125711694,0.10914056,0.078633994,0.051101636,Spanish,English,Portuguese,Chinese,French,Portuguese,256505.0,215707.0,148469.0,116557.0,92362.0,21.7%,18.3%,12.6%,9.9%,7.8%,927916,0.785083413,1,Management Occupations,Computer Occupations,Healthcare Occupations,Science Occupations,Education Occupations,47302.0,40525.0,36441.0,30901.0,30758.0,0.147420257,0.126299217,0.11357113,0.096305303,0.095859632,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Business Operations Specialists,269814,185961,159012,106696,100591,0.185661331,0.127961367,0.10941752,0.073418431,0.069217533,Food Service Occupations,Grounds Maintenance Occupations,Transportation and Material Moving Occupations,Healthcare Occupations,Construction and Extraction Occupations,51573.0,45904.0,45847.0,45462.0,43649.0,0.116328061,0.103541069,0.103412494,0.102544092,0.098454691,Office Administrative Occupations,Sales-Related Occupations,Healthcare Occupations,Transportation and Material Moving Occupations,Food Service Occupations,218071,164452,130646,124596,119625,0.146358535,0.110372096,0.087683171,0.083622709,0.080286421
22,Michigan,460,256,MI,Michigan,Mexico,India,Iraq,China,Canada,77972.0,76976.0,50893.0,36214.0,36201.0,0.114959709,0.113491237,0.0750352,0.053392898,0.053373732,India,China,Mexico,Bangladesh,Canada,24267.0,13614.0,12430.0,6419.0,5770.0,0.162194133,0.090992332,0.083078794,0.042902879,0.038565136,English,Spanish,Arabic,Hindi and related,Chinese,Arabic,142137.0,101411.0,97964.0,78702.0,38135.0,21.1%,15.1%,14.5%,11.7%,5.7%,561407,0.8334006070000000,1,Healthcare Occupations,Management Occupations,Engineering Occupations,Computer Occupations,Education Occupations,30561.0,24186.0,22751.0,22588.0,20634.0,0.162840888,0.128872409,0.121226169,0.12035764,0.109945968,Management Occupations,Education Occupations,Healthcare Occupations,Office Administrative Occupations,Sales-Related Occupations,229289,175188,174610,109570,100262,0.166081041,0.126894027,0.126475364,0.079364903,0.072622836,Production Occupations,Transportation and Material Moving Occupations,Food Service Occupations,Sales-Related Occupations,Office Administrative Occupations,33156.0,26526.0,21382.0,20058.0,13969.0,0.155333072,0.124272078,0.10017287,0.093970045,0.06544359,Production Occupations,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Healthcare Occupations,368602,362880,309808,305794,262410,0.1236201,0.121701077,0.103902027,0.102555826,0.0880059
23,Minnesota,340,256,MN,Minnesota,Mexico,Somalia,India,Laos,Vietnam,53904.0,41508.0,33471.0,28978.0,20581.0,0.113111578,0.08709994,0.070235185,0.060807124,0.043186951,India,Somalia,China,Mexico,Korea,12422.0,9321.0,4479.0,3464.0,2184.0,0.132463187,0.099395372,0.047762245,0.036938693,0.023289293,English,Spanish,Hamitic,Tibetan,Sub-Saharan Africa,Hamitic,95983.0,83526.0,50269.0,36265.0,23724.0,20.2%,17.6%,10.6%,7.6%,5.0%,389987,0.822557807,1,Computer Occupations,Management Occupations,Healthcare Occupations,Office Administrative Occupations,Education Occupations,16737.0,15656.0,11123.0,9146.0,8946.0,0.153539196,0.143622488,0.102038383,0.083902098,0.08206737,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,170302,129868,121684,92521,74611,0.160928398,0.122719929,0.11498639,0.087428547,0.070504338,Production Occupations,Healthcare Occupations,Transportation and Material Moving Occupations,Food Service Occupations,Office Administrative Occupations,44102.0,30497.0,21929.0,18608.0,18333.0,0.214845598,0.148568004,0.106828466,0.090650015,0.089310333,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Healthcare Occupations,Production Occupations,210846,172899,160470,140789,137461,0.128983751,0.10576991,0.09816654,0.086126812,0.084090926
24,Mississippi,400,468,MS,Mississippi,Mexico,India,China,Philippines,Honduras,18505.0,5117.0,3481.0,3159.0,2622.0,0.291674554,0.080653802,0.054867286,0.049791943,0.041327786,,,,,,,,,,,,,,,,Spanish,English,Hindi and related,Vietnamese,Arabic,Hindi,25130.0,13610.0,3643.0,3086.0,2894.0,40.5%,21.9%,5.9%,5.0%,4.7%,51695,0.833333313,1,Education Occupations,,,,,2420.0,,,,,0.19858855,,,,,Education Occupations,Healthcare Occupations,Management Occupations,Office Administrative Occupations,Sales-Related Occupations,53539,47525,41766,22701,20589,0.178624094,0.158559367,0.139345407,0.075738162,0.06869182,Construction and Extraction Occupations,Production Occupations,Food Service Occupations,Sales-Related Occupations,,5093.0,3294.0,2848.0,2466.0,,0.206822336,0.133766502,0.115654819,0.100142129,,Transportation and Material Moving Occupations,Office Administrative Occupations,Production Occupations,Sales-Related Occupations,Healthcare Occupations,112446,104033,100643,97984,88869,0.121575989,0.112479903,0.108814657,0.105939761,0.096084669
25,Missouri,340,362,MO,Missouri,Mexico,China,India,Philippines,Vietnam,39782.0,24883.0,19345.0,11696.0,10064.0,0.153752208,0.096169531,0.074765883,0.045203503,0.038896039,China,India,Mexico,Philippines,,10485.0,5575.0,3149.0,2583.0,,0.174479559,0.092772871,0.052402109,0.042983375,,Spanish,English,Chinese,Hindi and related,Dravidian,Chinese,65202.0,58397.0,23209.0,10361.0,10150.0,25.4%,22.7%,9.0%,4.0%,4.0%,212197,0.825907052,1,Healthcare Occupations,Computer Occupations,Management Occupations,Education Occupations,Science Occupations,9936.0,9823.0,8649.0,8054.0,6126.0,0.140750498,0.13914977,0.122519232,0.114090629,0.08677914,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,151718,131385,113933,75955,70886,0.164437756,0.142400071,0.123484932,0.082322925,0.076828949,Transportation and Material Moving Occupations,Production Occupations,Food Service Occupations,Grounds Maintenance Occupations,Construction and Extraction Occupations,12857.0,11177.0,10971.0,8298.0,8175.0,0.143344522,0.124613963,0.12231724,0.09251558,0.091144234,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Production Occupations,Healthcare Occupations,253311,213521,198630,175446,170168,0.135175258,0.113941975,0.10599564,0.093623877,0.090807363
26,Montana,220,256,MT,Montana,Canada,,,,,4212.0,,,,,0.199668169,,,,,,,,,,,,,,,,,,,,English,,,,,N/A,12123.0,,,,,57.5%,,,,,19943,0.9453899260000000,1,,,,,,,,,,,,,,,,Management Occupations,Healthcare Occupations,Education Occupations,Sales-Related Occupations,Office Administrative Occupations,26748,26456,22013,13937,10680,0.152138054,0.150477216,0.125206187,0.079271272,0.060746014,,,,,,,,,,,,,,,,Sales-Related Occupations,Office Administrative Occupations,Food Service Occupations,Construction and Extraction Occupations,Management Occupations,45862,35562,33970,32036,29897,0.134180635,0.104045428,0.099387638,0.093729243,0.087471075
27,Nebraska,280,362,NE,Nebraska,Mexico,Guatemala,Vietnam,India,China,48045.0,8128.0,6854.0,6703.0,4756.0,0.33276999,0.056296274,0.04747228,0.046426419,0.032941077,,,,,,,,,,,,,,,,Spanish,English,Arabic,Hamitic,Sub-Saharan Africa,Arabic,69973.0,13764.0,7719.0,6665.0,6153.0,49.1%,9.7%,5.4%,4.7%,4.3%,102624,0.720062315,0,,,,,,,,,,,,,,,,Management Occupations,Education Occupations,Healthcare Occupations,Office Administrative Occupations,Sales-Related Occupations,55837,50350,44226,28196,23120,0.166844949,0.15044941,0.132150456,0.084251665,0.069084212,Production Occupations,Construction and Extraction Occupations,Transportation and Material Moving Occupations,Office Administrative Occupations,Grounds Maintenance Occupations,17175.0,13876.0,8017.0,6312.0,5669.0,0.235412642,0.190194219,0.109886646,0.086516716,0.077703305,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Management Occupations,Healthcare Occupations,76743,60691,56675,53031,48509,0.131725937,0.104173392,0.097280107,0.091025345,0.083263531
28,Nevada,160,309,NV,Nevada,Mexico,Philippines,El Salvador,Cuba,China,225772.0,101466.0,27326.0,23483.0,19551.0,0.367457867,0.165142179,0.044474754,0.038220033,0.031820461,Mexico,Philippines,Cuba,Ethiopia,El Salvador,17452.0,13967.0,9015.0,5138.0,4767.0,0.185843438,0.14873226,0.095999233,0.054713707,0.050762989,Spanish,"Filipino, Tagalog",English,Chinese,"Amharic, Ethiopian, etc.",Filipino,311118.0,84662.0,81931.0,27289.0,13099.0,51.0%,13.9%,13.4%,4.5%,2.1%,449725,0.7369254830000000,0,Healthcare Occupations,Management Occupations,Sales-Related Occupations,Office Administrative Occupations,Food Service Occupations,12599.0,11683.0,8517.0,7936.0,6293.0,0.146178752,0.135550946,0.098817714,0.092076719,0.073013961,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,46879,45025,31742,23605,20715,0.160738289,0.154381305,0.108836681,0.080936611,0.071027406,Food Service Occupations,Grounds Maintenance Occupations,Transportation and Material Moving Occupations,Construction and Extraction Occupations,Sales-Related Occupations,50220.0,43483.0,34413.0,33221.0,26236.0,0.167657077,0.14516592,0.114886157,0.11090672,0.087587632,Office Administrative Occupations,Sales-Related Occupations,Food Service Occupations,Transportation and Material Moving Occupations,Management Occupations,112174,98566,84344,83966,58350,0.139078617,0.122206777,0.104573674,0.104105011,0.072345085
29,New Hampshire,700,203,NH,New Hampshire,Canada,India,Dominican Republic,China,Brazil,7778.0,7771.0,6347.0,3874.0,3736.0,0.089345813,0.089265406,0.072907932,0.044500604,0.0429154,,,,,,,,,,,,,,,,English,Spanish,Chinese,Dravidian,French,Chinese,26458.0,13898.0,5871.0,5734.0,5334.0,30.5%,16.0%,6.8%,6.6%,6.1%,74616,0.85901773,1,Management Occupations,Healthcare Occupations,Computer Occupations,,,3965.0,3220.0,2696.0,,,0.181149483,0.147112578,0.123172514,,,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,46649,37185,32437,19349,18979,0.177034706,0.141118467,0.123099633,0.073430181,0.072026022,Production Occupations,Office Administrative Occupations,Sales-Related Occupations,,,5981.0,3642.0,2909.0,,,0.20712702,0.1261255,0.100741103,,,Sales-Related Occupations,Office Administrative Occupations,Transportation and Material Moving Occupations,Healthcare Occupations,Production Occupations,50821,48350,40878,34321,33988,0.121470623,0.115564518,0.0977052,0.082032882,0.081236959
30,New Jersey,580,309,NJ,New Jersey,India,Dominican Republic,Mexico,Colombia,Ecuador,267137.0,196191.0,108194.0,91019.0,89640.0,0.128567174,0.094422422,0.052071396,0.043805446,0.043141764,India,Dominican Republic,Colombia,China,Brazil,71196.0,34945.0,22838.0,15763.0,14264.0,0.211149439,0.103638083,0.067731768,0.046749096,0.042303439,Spanish,English,Hindi and related,Chinese,Dravidian,Hindi,764052.0,339949.0,225529.0,102112.0,66560.0,37.0%,16.5%,10.9%,4.9%,3.2%,1589014,0.770106554,1,Management Occupations,Computer Occupations,Healthcare Occupations,Education Occupations,Sales-Related Occupations,101634.0,75909.0,69680.0,43711.0,40200.0,0.176580042,0.131885141,0.121062808,0.075943977,0.069843926,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,266171,210336,142789,122382,113829,0.183618128,0.14510034,0.098503023,0.084425248,0.078524962,Transportation and Material Moving Occupations,Construction and Extraction Occupations,Production Occupations,Grounds Maintenance Occupations,Healthcare Occupations,120010.0,76601.0,75238.0,69912.0,64763.0,0.158547714,0.10119918,0.099398494,0.092362203,0.085559756,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Management Occupations,Healthcare Occupations,282852,211993,184179,142764,128438,0.162661552,0.121912196,0.105917022,0.082100227,0.073861681
